# Top of Book CSV Output
# Generated by TopOfBookTracker
# Symbol: 
# Date Range: 
# Columns:
#   timestamp: ISO 8601 timestamp (YYYY-MM-DDTHH:MM:SS.nnnnnnnnnZ)
#   symbol: Trading symbol
#   best_bid: Best bid price in dollars (converted from ticks)
#   best_ask: Best ask price in dollars (converted from ticks)
#   bid_volume: Volume at best bid level
#   ask_volume: Volume at best ask level
#   mid_price: Mid price in dollars ((bid + ask) / 2)
#   spread: Bid-ask spread in dollars (ask - bid)

timestamp,symbol,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread
2024-06-28T15:34:13.603518475Z,ESU4,5559.50,5559.75,4,556,5559.62,0.25
2024-06-28T15:34:13.607441497Z,ESU4,5559.50,5559.75,4,556,5559.62,0.25
2024-06-28T15:34:13.644899662Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.645005678Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.646289266Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663342433Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663451803Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663559627Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663661389Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663668603Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663678310Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663722853Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663770140Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663866521Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.663874808Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.664372403Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.664856479Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.671897551Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.671998105Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672104424Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672127637Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672150753Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672155443Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672232010Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672465947Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672816201Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672837704Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672955179Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.672976872Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.673058257Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.673127145Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.673430352Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.677373388Z,ESU4,5559.50,5559.75,4,555,5559.62,0.25
2024-06-28T15:34:13.680277397Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.680581552Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.680593609Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.680693994Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.688864249Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.688871806Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.688880459Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.688972083Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.692516892Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.697197950Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.697304854Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.697309793Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.697557245Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.697625109Z,ESU4,5559.50,5559.75,4,554,5559.62,0.25
2024-06-28T15:34:13.700377565Z,ESU4,5559.50,5559.75,4,553,5559.62,0.25
2024-06-28T15:34:13.705388080Z,ESU4,5559.50,5559.75,4,553,5559.62,0.25
2024-06-28T15:34:13.710402854Z,ESU4,5559.50,5559.75,4,553,5559.62,0.25
2024-06-28T15:34:13.886976425Z,ESU4,5559.50,5559.75,6,549,5559.62,0.25
2024-06-28T15:34:13.887426480Z,ESU4,5559.50,5559.75,6,532,5559.62,0.25
2024-06-28T15:34:13.888177219Z,ESU4,5559.50,5559.75,6,527,5559.62,0.25
2024-06-28T15:34:13.888277932Z,ESU4,5559.50,5559.75,6,527,5559.62,0.25
2024-06-28T15:34:13.888380564Z,ESU4,5559.50,5559.75,6,527,5559.62,0.25
2024-06-28T15:34:13.889497977Z,ESU4,5559.50,5559.75,6,509,5559.62,0.25
2024-06-28T15:34:13.896275628Z,ESU4,5559.50,5559.75,6,481,5559.62,0.25
2024-06-28T15:34:13.896385197Z,ESU4,5559.50,5559.75,6,481,5559.62,0.25
2024-06-28T15:34:14.019087128Z,ESU4,5559.50,5559.75,6,466,5559.62,0.25
2024-06-28T15:34:14.021860376Z,ESU4,5559.50,5559.75,6,466,5559.62,0.25
2024-06-28T15:34:14.099451048Z,ESU4,5559.50,5559.75,6,444,5559.62,0.25
2024-06-28T15:34:14.255801028Z,ESU4,5559.50,5559.75,6,425,5559.62,0.25
